threshold,precision,recall,f1_score,specificity
0.1,0.08365843086259211,0.9698492462311558,0.15403032721468476,0.456415530984829
0.15,0.09514271407110667,0.9547738693467337,0.17304189435336975,0.5353561326819234
0.2,0.10187820147979511,0.8994974874371859,0.18302658486707565,0.5942401645667267
0.25,0.11139896373056994,0.864321608040201,0.19736087205966724,0.6472100797120083
0.3,0.11913626209977662,0.8040201005025126,0.20752269779507135,0.695808691180252
0.35,0.12256973795435334,0.7286432160804021,0.2098408104196816,0.7330933401902803
0.4,0.13564356435643565,0.6884422110552764,0.22663358147229115,0.7755206994085884
0.45,0.1400462962962963,0.6080402010050251,0.22765757290686736,0.8089483157624068
0.5,0.1445945945945946,0.5376884422110553,0.22790202342917998,0.8372332219079455
0.55,0.14797507788161993,0.47738693467336685,0.2259215219976219,0.8593468758035485
0.6,0.1596958174904943,0.4221105527638191,0.2317241379310345,0.8863461043970172
0.65,0.16666666666666666,0.32663316582914576,0.22071307300509338,0.9164309591154538
0.7,0.1879432624113475,0.2663316582914573,0.2203742203742204,0.9411159681151967
